,tips
746,Pachysolen_tannophilus
747,Nakaseomyces_delphensis
748,Nakaseomyces_bacillisporus
749,Saccharomyces_cerevisiae
750,Saccharomyces_cerevisiae
751,Saccharomyces_cerevisiae
752,Saccharomyces_cerevisiae
753,Saccharomyces_cerevisiae
754,Saccharomyces_cerevisiae
755,Saccharomyces_boulardii
756,Saccharomyces_arboricola
757,Saccharomyces_eubayanus
758,Kazachstania_naganishii
759,Kazachstania_africana
760,Naumovozyma_castellii
761,Naumovozyma_dairenensis
762,Tetrapisispora_phaffii
763,Vanderwaltozyma_polyspora
764,Tetrapisispora_blattae
765,Zygosaccharomyces_rouxii
766,Zygosaccharomyces_rouxii
767,Torulaspora_delbrueckii
768,Lachancea_lanzarotensis
769,Lachancea_sp.
770,Lachancea_meyersii
771,Lachancea_dasiensis
772,Lachancea_nothofagi
773,Lachancea_thermotolerans
774,Lachancea_quebecensis
775,Lachancea_mirantina
776,Lachancea_fermentati
777,Kluyveromyces_marxianus
778,Kluyveromyces_lactis
779,Eremothecium_gossypii
780,Eremothecium_gossypii
781,Saccharomycetaceae_sp
782,Eremothecium_cymbalariae
783,Hanseniaspora_opuntiae
784,Hanseniaspora_guilliermondii
785,Hanseniaspora_uvarum
786,Hanseniaspora_valbyensis
787,Hanseniaspora_osmophila
788,Cyberlindnera_jadinii
789,Cyberlindnera_fabianii
790,Wickerhamomyces_anomalus
791,Ascoidea_rubescens
792,Saccharomycopsis_capsularis
793,Tortispora_caseinolytica
794,Lipomyces_starkeyi
795,Lipomyces_starkeyi
796,Lipomyces_starkeyi
797,Lipomyces_starkeyi
798,Lipomyces_starkeyi
799,Lipomyces_starkeyi
800,Lipomyces_starkeyi
801,Lipomyces_doorenjongii
802,Lipomyces_doorenjongii
803,Lipomyces_doorenjongii
804,Lipomyces_mesembrius
805,Lipomyces_chichibuensis
806,Lipomyces_kononenkoae
807,Lipomyces_kononenkoae
808,Lipomyces_orientalis
809,Lipomyces_tetrasporus
810,Lipomyces_tetrasporus
811,Lipomyces_tetrasporus
812,Lipomyces_tetrasporus
813,Lipomyces_arxii
814,Lipomyces_suomiensis
815,Myxozyma_melibiosi
816,Lipomyces_oligophaga
817,Lipomyces_smithiae
818,Lipomyces_japonicus
819,Dipodascopsis_uninucleata
820,Dipodascopsis_tothii
821,Pneumocystis_jirovecii
822,Pneumocystis_jirovecii
823,Pneumocystis_carinii
824,Pneumocystis_murina
825,Schizosaccharomyces_octosporus
826,Schizosaccharomyces_cryophilus
827,Schizosaccharomyces_pombe
828,Schizosaccharomyces_japonicus
829,Protomyces_lactucaedebilis
830,Taphrina_deformans
831,Saitoella_complicata
832,Neolecta_irregularis
833,Phellinus_noxius
834,Fomitiporia_mediterranea
835,Phellopilus_nigrolimitatus
836,Schizopora_paradoxa
837,Rigidoporus_microporus
838,Rickenella_fibula
839,Ricmel1
840,Fibulorhizoctonia_psychrophila
841,Piloderma_olivaceum
842,Gyrodon_lividus
843,Paxillus_involutus
844,Paxam1
845,Paxillus_adelphus
846,Melanogaster_broomeianus
847,Lanmaoa_asiatica
848,Butyriboletus_roseoflavus
849,Boletus_edulis
850,Boletus_edulis
851,Boletus_reticuloceps
852,Xerba1
853,Chiua_virens
854,Hydnomerulius_pinastri
855,Phlebopus_sp.
856,Pisolithus_microcarpus
857,Pisolithus_albus
858,Pisolithus_thermaeus
859,Pisolithus_croceorrhizus
860,Pisolithus_croceorrhizus
861,Pisolithus_sp.
862,Pisolithus_marmoratus
863,Pisolithus_orientalis
864,Pisolithus_tinctorius
