old_taxonID_linked_genome_sequence,species,genus,family,order,class,phylum
Verticillium_longisporum,Verticillium longisporum,Verticillium,Plectosphaerellaceae,Glomerellales,Sordariomycetes,Ascomycota
Verticillium_nonalfalfae,Verticillium nonalfalfae,Verticillium,Plectosphaerellaceae,Glomerellales,Sordariomycetes,Ascomycota
Verticillium_nubilum,Verticillium nubilum,Verticillium,Plectosphaerellaceae,Glomerellales,Sordariomycetes,Ascomycota
Verticillium_tricorpus,Verticillium tricorpus,Verticillium,Plectosphaerellaceae,Glomerellales,Sordariomycetes,Ascomycota
Verticillium_zaregamsianum,Verticillium zaregamsianum,Verticillium,Plectosphaerellaceae,Glomerellales,Sordariomycetes,Ascomycota
Wickerhamia_fluorescens,Wickerhamia fluorescens,Wickerhamia,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Wickerhamiella_cacticola,Wickerhamiella cacticola,Wickerhamiella,Dipodascaceae/Trichomonascaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Wickerhamiella_domercqiae,Wickerhamiella domercqiae,Wickerhamiella,Dipodascaceae/Trichomonascaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Wickerhamiella_infanticola,Wickerhamiella infanticola,Wickerhamiella,Dipodascaceae/Trichomonascaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Wickerhamiella_versatilis,Wickerhamiella versatilis,Wickerhamiella,Dipodascaceae/Trichomonascaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Wickerhamomyces_alni,Wickerhamomyces alni,Wickerhamomyces,Phaffomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Wickerhamomyces_anomalus,Wickerhamomyces anomalus,Wickerhamomyces,Phaffomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Wickerhamomyces_bovis,Wickerhamomyces bovis,Wickerhamomyces,Phaffomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Wickerhamomyces_canadensis,Wickerhamomyces canadensis,Wickerhamomyces,Phaffomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Wickerhamomyces_ciferrii,Wickerhamomyces ciferrii,Wickerhamomyces,Phaffomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Wickerhamomyces_hampshirensis,Wickerhamomyces hampshirensis,Wickerhamomyces,Phaffomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Xeromyces_bisporus,Xeromyces bisporus,Xeromyces,Aspergillaceae,Eurotiales,Eurotiomycetes,Ascomycota
Xylaria_longipes,Xylaria longipes,Xylaria,Xylariaceae,Xylariales,Sordariomycetes,Ascomycota
Xylaria_polymorpha,Xylaria polymorpha,Xylaria,Xylariaceae,Xylariales,Sordariomycetes,Ascomycota
Xylona_heveae,Xylona heveae,Xylona,Xylonaceae,Xylonales,Xylonomycetes,Ascomycota
Yamadazyma_nakazawae,Yamadazyma nakazawae,Yamadazyma,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Yamadazyma_philogaea,Yamadazyma philogaea,Yamadazyma,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Yamadazyma_scolyti,Yamadazyma scolyti,Yamadazyma,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Yamadazyma_tenuis,Yamadazyma tenuis,Yamadazyma,Debaryomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Yarrowia_bubula,Yarrowia bubula,Yarrowia,Dipodascaceae/Trichomonascaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Yarrowia_deformans,Yarrowia deformans,Yarrowia,Dipodascaceae/Trichomonascaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Yarrowia_divulgata,Yarrowia divulgata,Yarrowia,Dipodascaceae/Trichomonascaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Yarrowia_keelungensis,Yarrowia keelungensis,Yarrowia,Dipodascaceae/Trichomonascaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Yarrowia_lipolytica,Yarrowia lipolytica,Yarrowia,Dipodascaceae/Trichomonascaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Yueomyces_sinensis,Yueomyces sinensis,Yueomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Zasmidium_angulare,Zasmidium angulare,Zasmidium,Mycosphaerellaceae,Capnodiales,Dothideomycetes,Ascomycota
Zasmidium_citri-griseum,Zasmidium citri-griseum,Zasmidium,Mycosphaerellaceae,Capnodiales,Dothideomycetes,Ascomycota
Zygoascus_meyerae,Zygoascus meyerae,Zygoascus,Dipodascaceae/Trichomonascaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Zygoascus_ofunaensis,Zygoascus ofunaensis,Zygoascus,Dipodascaceae/Trichomonascaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Zygosaccharomyces_bailii,Zygosaccharomyces bailii,Zygosaccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Zygosaccharomyces_bisporus,Zygosaccharomyces bisporus,Zygosaccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Zygosaccharomyces_kombuchaensis,Zygosaccharomyces kombuchaensis,Zygosaccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Zygosaccharomyces_rouxii,Zygosaccharomyces rouxii,Zygosaccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Zygotorulaspora_florentina,Zygotorulaspora florentina,Zygotorulaspora,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Zygotorulaspora_mrakii,Zygotorulaspora mrakii,Zygotorulaspora,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Ascomycota
Zymoseptoria_ardabiliae,Zymoseptoria ardabiliae,Zymoseptoria,Mycosphaerellaceae,Capnodiales,Dothideomycetes,Ascomycota
Zymoseptoria_brevis,Zymoseptoria brevis,Zymoseptoria,Mycosphaerellaceae,Capnodiales,Dothideomycetes,Ascomycota
Zymoseptoria_passerinii,Zymoseptoria passerinii,Zymoseptoria,Mycosphaerellaceae,Capnodiales,Dothideomycetes,Ascomycota
